Epoch 1, Generator_loss: 20.335844039916992, Discriminator_loss: 1.5967280864715576, Overlap_rate: 0.6176929796963393, Discriminator_fake: 0.7810210622710623
Epoch 2, Generator_loss: 20.32186508178711, Discriminator_loss: 0.608981728553772, Overlap_rate: 0.6075388195942375, Discriminator_fake: 0.893543956043956
Epoch 3, Generator_loss: 20.321834564208984, Discriminator_loss: 0.421966552734375, Overlap_rate: 0.6156567988344337, Discriminator_fake: 0.7892628205128205
Epoch 4, Generator_loss: 20.33094596862793, Discriminator_loss: 0.25040075182914734, Overlap_rate: 0.61118911980094, Discriminator_fake: 0.690018315018315
Epoch 5, Generator_loss: 20.344802856445312, Discriminator_loss: 0.17741043865680695, Overlap_rate: 0.611652573995232, Discriminator_fake: 0.6699862637362637
Epoch 6, Generator_loss: 20.303239822387695, Discriminator_loss: 0.1179247796535492, Overlap_rate: 0.6081431374947618, Discriminator_fake: 0.6195054945054945
Epoch 7, Generator_loss: 20.326505661010742, Discriminator_loss: 0.10816898196935654, Overlap_rate: 0.6160126749236278, Discriminator_fake: 0.6674679487179487
Epoch 8, Generator_loss: 20.329246520996094, Discriminator_loss: 0.13401177525520325, Overlap_rate: 0.61212588706874, Discriminator_fake: 0.8298992673992674
Epoch 9, Generator_loss: 20.369815826416016, Discriminator_loss: 0.36515364050865173, Overlap_rate: 0.6124539347075101, Discriminator_fake: 0.604739010989011
Epoch 10, Generator_loss: 20.310226440429688, Discriminator_loss: 0.2128864973783493, Overlap_rate: 0.6066536970374453, Discriminator_fake: 0.7513736263736264
Epoch 11, Generator_loss: 20.338096618652344, Discriminator_loss: 0.06031114608049393, Overlap_rate: 0.6124995065225621, Discriminator_fake: 0.7855998168498168
Epoch 12, Generator_loss: 20.31952667236328, Discriminator_loss: 0.06891945749521255, Overlap_rate: 0.6168601915258127, Discriminator_fake: 0.78125
Epoch 13, Generator_loss: 20.34653663635254, Discriminator_loss: 0.050533097237348557, Overlap_rate: 0.6125434300188246, Discriminator_fake: 0.5769230769230769
Epoch 14, Generator_loss: 20.33549690246582, Discriminator_loss: 0.09410154819488525, Overlap_rate: 0.6133894962194286, Discriminator_fake: 0.6951694139194139
Epoch 15, Generator_loss: 20.32947540283203, Discriminator_loss: 0.04836461320519447, Overlap_rate: 0.6112506812979225, Discriminator_fake: 0.5974130036630036
Epoch 16, Generator_loss: 20.326810836791992, Discriminator_loss: 0.08238580077886581, Overlap_rate: 0.6129828079347844, Discriminator_fake: 0.5762362637362637
Epoch 17, Generator_loss: 20.35071563720703, Discriminator_loss: 0.6601231694221497, Overlap_rate: 0.6093878547538295, Discriminator_fake: 0.5753205128205128
Epoch 18, Generator_loss: 20.34830093383789, Discriminator_loss: 0.43087562918663025, Overlap_rate: 0.6126254297167646, Discriminator_fake: 0.7805631868131868
Epoch 19, Generator_loss: 20.3150691986084, Discriminator_loss: 0.47576460242271423, Overlap_rate: 0.6074752940080537, Discriminator_fake: 0.8181089743589743
Epoch 20, Generator_loss: 20.346221923828125, Discriminator_loss: 0.15072694420814514, Overlap_rate: 0.6089496229677533, Discriminator_fake: 0.8058608058608058
Epoch 21, Generator_loss: 20.33673667907715, Discriminator_loss: 0.15226103365421295, Overlap_rate: 0.6103274350889212, Discriminator_fake: 0.8461538461538461
Epoch 22, Generator_loss: 20.32095718383789, Discriminator_loss: 0.14106246829032898, Overlap_rate: 0.6122691666782982, Discriminator_fake: 0.8621794871794872
Epoch 23, Generator_loss: 20.312788009643555, Discriminator_loss: 0.1111033633351326, Overlap_rate: 0.6156355811148855, Discriminator_fake: 0.8645833333333334
Epoch 24, Generator_loss: 20.333452224731445, Discriminator_loss: 0.11807312071323395, Overlap_rate: 0.6062076500304494, Discriminator_fake: 0.7703754578754579
Epoch 25, Generator_loss: 20.34551239013672, Discriminator_loss: 0.09182728826999664, Overlap_rate: 0.6086602247489753, Discriminator_fake: 0.7980769230769231
Epoch 26, Generator_loss: 20.325599670410156, Discriminator_loss: 0.08007373660802841, Overlap_rate: 0.6101343112975517, Discriminator_fake: 0.7842261904761905
Epoch 27, Generator_loss: 20.330127716064453, Discriminator_loss: 0.16602133214473724, Overlap_rate: 0.610777360374155, Discriminator_fake: 0.7884615384615384
Epoch 28, Generator_loss: 20.311487197875977, Discriminator_loss: 0.07777471840381622, Overlap_rate: 0.6102225587630529, Discriminator_fake: 0.8643543956043956
Epoch 29, Generator_loss: 20.3309383392334, Discriminator_loss: 0.11755592375993729, Overlap_rate: 0.6187976330255331, Discriminator_fake: 0.6517857142857143
Epoch 30, Generator_loss: 20.323617935180664, Discriminator_loss: 0.21537597477436066, Overlap_rate: 0.6073875615739138, Discriminator_fake: 0.48855311355311354
Epoch 31, Generator_loss: 20.323928833007812, Discriminator_loss: 0.1461373269557953, Overlap_rate: 0.6099127057559668, Discriminator_fake: 0.8470695970695971
Epoch 32, Generator_loss: 20.346416473388672, Discriminator_loss: 0.16440866887569427, Overlap_rate: 0.6044575011393122, Discriminator_fake: 0.819253663003663
Epoch 33, Generator_loss: 20.323257446289062, Discriminator_loss: 0.15319889783859253, Overlap_rate: 0.6027783618521346, Discriminator_fake: 0.7747252747252747
Epoch 34, Generator_loss: 20.344478607177734, Discriminator_loss: 0.17163777351379395, Overlap_rate: 0.6117450449112781, Discriminator_fake: 0.6978021978021979
Epoch 35, Generator_loss: 20.314409255981445, Discriminator_loss: 0.16251766681671143, Overlap_rate: 0.6139824258493412, Discriminator_fake: 0.7393543956043955
Epoch 36, Generator_loss: 20.332138061523438, Discriminator_loss: 0.16937066614627838, Overlap_rate: 0.6148787388655306, Discriminator_fake: 0.7140567765567766
Epoch 37, Generator_loss: 20.342756271362305, Discriminator_loss: 0.17266421020030975, Overlap_rate: 0.609891729883536, Discriminator_fake: 0.7153159340659341
Epoch 38, Generator_loss: 20.334468841552734, Discriminator_loss: 0.1723959743976593, Overlap_rate: 0.6070875669334311, Discriminator_fake: 0.730540293040293
Epoch 39, Generator_loss: 20.348861694335938, Discriminator_loss: 0.1768086552619934, Overlap_rate: 0.6153162853939975, Discriminator_fake: 0.7369505494505494
Epoch 40, Generator_loss: 20.352243423461914, Discriminator_loss: 0.18517723679542542, Overlap_rate: 0.6145726328689491, Discriminator_fake: 0.7214972527472527
Epoch 41, Generator_loss: 20.2928409576416, Discriminator_loss: 0.5306720733642578, Overlap_rate: 0.6115511606648828, Discriminator_fake: 0.5179716117216118
Epoch 42, Generator_loss: 20.304920196533203, Discriminator_loss: 0.3822576403617859, Overlap_rate: 0.6134803908263478, Discriminator_fake: 0.6398809523809523
Epoch 43, Generator_loss: 20.317155838012695, Discriminator_loss: 0.37079426646232605, Overlap_rate: 0.6076479832479246, Discriminator_fake: 0.6399954212454212
Epoch 44, Generator_loss: 20.31577491760254, Discriminator_loss: 0.451447457075119, Overlap_rate: 0.6089556672723289, Discriminator_fake: 0.7117673992673993
Epoch 45, Generator_loss: 20.285987854003906, Discriminator_loss: 0.35575050115585327, Overlap_rate: 0.6125341200644338, Discriminator_fake: 0.06570512820512821
Epoch 46, Generator_loss: 20.31545639038086, Discriminator_loss: 0.4461638629436493, Overlap_rate: 0.6151503753643901, Discriminator_fake: 0.09764194139194139
Epoch 47, Generator_loss: 20.335250854492188, Discriminator_loss: 0.36711716651916504, Overlap_rate: 0.6166341421910437, Discriminator_fake: 0.2916666666666667
Epoch 48, Generator_loss: 20.341758728027344, Discriminator_loss: 0.7665980458259583, Overlap_rate: 0.6128062660771832, Discriminator_fake: 0.7530906593406593
Epoch 49, Generator_loss: 20.34203338623047, Discriminator_loss: 0.3857669532299042, Overlap_rate: 0.6150536730108599, Discriminator_fake: 0.7595009157509158
Epoch 50, Generator_loss: 20.32400131225586, Discriminator_loss: 0.32582178711891174, Overlap_rate: 0.6112909882994862, Discriminator_fake: 0.7455357142857143
Epoch 51, Generator_loss: 20.313262939453125, Discriminator_loss: 0.24547024071216583, Overlap_rate: 0.6101043680603463, Discriminator_fake: 0.688301282051282
Epoch 52, Generator_loss: 20.325428009033203, Discriminator_loss: 0.19310110807418823, Overlap_rate: 0.6075169348836648, Discriminator_fake: 0.6678113553113553
