Epoch 1, Generator_loss: 20.721342086791992, Discriminator_loss: 2.196634531021118, Overlap_rate: 0.04940980365616976, Discriminator_fake: 0.7411858974358975
Epoch 2, Generator_loss: 20.73896026611328, Discriminator_loss: 1.4627699851989746, Overlap_rate: 0.05592257080211155, Discriminator_fake: 0.8982371794871795
Epoch 3, Generator_loss: 20.74544906616211, Discriminator_loss: 1.2293604612350464, Overlap_rate: 0.0533916448573711, Discriminator_fake: 0.8901098901098902
Epoch 4, Generator_loss: 20.712631225585938, Discriminator_loss: 1.0678958892822266, Overlap_rate: 0.054511223690165415, Discriminator_fake: 0.946886446886447
Epoch 5, Generator_loss: 20.73330307006836, Discriminator_loss: 1.903729796409607, Overlap_rate: 0.05263848641762214, Discriminator_fake: 0.8878205128205128
Epoch 6, Generator_loss: 20.74961280822754, Discriminator_loss: 1.390102505683899, Overlap_rate: 0.049015943230078886, Discriminator_fake: 0.9294871794871795
Epoch 7, Generator_loss: 20.73456382751465, Discriminator_loss: 1.147573471069336, Overlap_rate: 0.051351837114442876, Discriminator_fake: 0.9895833333333334
Epoch 8, Generator_loss: 20.7145938873291, Discriminator_loss: 1.136246681213379, Overlap_rate: 0.05462077214744722, Discriminator_fake: 0.9487179487179487
Epoch 9, Generator_loss: 20.729753494262695, Discriminator_loss: 0.8966471552848816, Overlap_rate: 0.05231914817746205, Discriminator_fake: 0.8771749084249085
Epoch 10, Generator_loss: 20.736249923706055, Discriminator_loss: 0.8692089319229126, Overlap_rate: 0.05177245196743661, Discriminator_fake: 0.90625
Epoch 11, Generator_loss: 20.750085830688477, Discriminator_loss: 1.066148042678833, Overlap_rate: 0.054065421744476136, Discriminator_fake: 0.9783653846153846
Epoch 12, Generator_loss: 20.714754104614258, Discriminator_loss: 0.7141598463058472, Overlap_rate: 0.050466328182047035, Discriminator_fake: 0.9741300366300367
Epoch 13, Generator_loss: 20.72818374633789, Discriminator_loss: 0.8146259784698486, Overlap_rate: 0.05053576951571749, Discriminator_fake: 0.9270833333333334
Epoch 14, Generator_loss: 20.731576919555664, Discriminator_loss: 0.6787694096565247, Overlap_rate: 0.054147127632624095, Discriminator_fake: 0.913003663003663
Epoch 15, Generator_loss: 20.734634399414062, Discriminator_loss: 0.6183818578720093, Overlap_rate: 0.05242478902246072, Discriminator_fake: 0.9439102564102564
Epoch 16, Generator_loss: 20.72384262084961, Discriminator_loss: 0.7101466655731201, Overlap_rate: 0.051839669546349484, Discriminator_fake: 0.8224587912087912
Epoch 17, Generator_loss: 20.74390983581543, Discriminator_loss: 0.5303259491920471, Overlap_rate: 0.05174542377080495, Discriminator_fake: 0.7540064102564102
Epoch 18, Generator_loss: 20.713960647583008, Discriminator_loss: 0.4749513268470764, Overlap_rate: 0.054014978905305905, Discriminator_fake: 0.8611492673992674
Epoch 19, Generator_loss: 20.750316619873047, Discriminator_loss: 0.7664095163345337, Overlap_rate: 0.053719450104982074, Discriminator_fake: 0.8547390109890111
Epoch 20, Generator_loss: 20.737178802490234, Discriminator_loss: 0.9522160291671753, Overlap_rate: 0.051937093157983776, Discriminator_fake: 0.8523351648351649
Epoch 21, Generator_loss: 20.741558074951172, Discriminator_loss: 1.1736398935317993, Overlap_rate: 0.0545199432958391, Discriminator_fake: 0.8533653846153846
Epoch 22, Generator_loss: 20.72072410583496, Discriminator_loss: 1.2596615552902222, Overlap_rate: 0.04930978172156131, Discriminator_fake: 0.8485576923076923
Epoch 23, Generator_loss: 20.724687576293945, Discriminator_loss: 1.2611240148544312, Overlap_rate: 0.05410815004696189, Discriminator_fake: 0.8515338827838829
Epoch 24, Generator_loss: 20.713720321655273, Discriminator_loss: 1.092211127281189, Overlap_rate: 0.05501417565118506, Discriminator_fake: 0.8497023809523808
Epoch 25, Generator_loss: 20.734390258789062, Discriminator_loss: 1.2368440628051758, Overlap_rate: 0.05220854119738432, Discriminator_fake: 0.8221153846153846
Epoch 26, Generator_loss: 20.710838317871094, Discriminator_loss: 0.7543001174926758, Overlap_rate: 0.05346715403653746, Discriminator_fake: 0.8691620879120879
Epoch 27, Generator_loss: 20.740694046020508, Discriminator_loss: 0.4864085912704468, Overlap_rate: 0.0501201067628133, Discriminator_fake: 0.8234890109890111
Epoch 28, Generator_loss: 20.728809356689453, Discriminator_loss: 0.48035481572151184, Overlap_rate: 0.05293746055361068, Discriminator_fake: 0.7593864468864469
Epoch 29, Generator_loss: 20.7121524810791, Discriminator_loss: 0.41860952973365784, Overlap_rate: 0.052810378241551416, Discriminator_fake: 0.8112408424908425
Epoch 30, Generator_loss: 20.72976303100586, Discriminator_loss: 0.3976350724697113, Overlap_rate: 0.0529359895771199, Discriminator_fake: 0.7339743589743589
Epoch 31, Generator_loss: 20.738374710083008, Discriminator_loss: 0.4364115595817566, Overlap_rate: 0.05353740042970634, Discriminator_fake: 0.6718177655677656
Epoch 32, Generator_loss: 20.742576599121094, Discriminator_loss: 0.3836047351360321, Overlap_rate: 0.05012076840277761, Discriminator_fake: 0.7604166666666666
Epoch 33, Generator_loss: 20.747695922851562, Discriminator_loss: 0.3305981159210205, Overlap_rate: 0.04723637042554107, Discriminator_fake: 0.7123397435897436
Epoch 34, Generator_loss: 20.723163604736328, Discriminator_loss: 0.3140926659107208, Overlap_rate: 0.05057551738487766, Discriminator_fake: 0.6696428571428571
Epoch 35, Generator_loss: 20.720237731933594, Discriminator_loss: 0.3032599985599518, Overlap_rate: 0.052960856964981526, Discriminator_fake: 0.6414835164835164
Epoch 36, Generator_loss: 20.718273162841797, Discriminator_loss: 0.29048359394073486, Overlap_rate: 0.05229474498470086, Discriminator_fake: 0.6393086080586081
Epoch 37, Generator_loss: 20.722156524658203, Discriminator_loss: 0.21184048056602478, Overlap_rate: 0.052390875361832394, Discriminator_fake: 0.6061126373626374
