Epoch 1, Generator_loss: 20.42598533630371, Discriminator_loss: 2.438986301422119, Overlap_rate: 0.5238154307216083, Discriminator_fake: 0.7425595238095237
Epoch 2, Generator_loss: 20.412158966064453, Discriminator_loss: 2.1376774311065674, Overlap_rate: 0.5258854883116477, Discriminator_fake: 0.8206272893772893
Epoch 3, Generator_loss: 20.42900276184082, Discriminator_loss: 2.0810234546661377, Overlap_rate: 0.5239054612176024, Discriminator_fake: 0.7644230769230769
Epoch 4, Generator_loss: 20.445005416870117, Discriminator_loss: 1.9291325807571411, Overlap_rate: 0.5265503575211947, Discriminator_fake: 0.5722298534798534
Epoch 5, Generator_loss: 20.42243194580078, Discriminator_loss: 1.7498738765716553, Overlap_rate: 0.5262084977962926, Discriminator_fake: 0.5956959706959707
Epoch 6, Generator_loss: 20.43994140625, Discriminator_loss: 2.422891616821289, Overlap_rate: 0.5267582923019741, Discriminator_fake: 0.4304029304029304
Epoch 7, Generator_loss: 20.421628952026367, Discriminator_loss: 1.810499906539917, Overlap_rate: 0.5242663079037378, Discriminator_fake: 0.5299908424908425
Epoch 8, Generator_loss: 20.433481216430664, Discriminator_loss: 1.6547963619232178, Overlap_rate: 0.5263950421143142, Discriminator_fake: 0.5581501831501832
Epoch 9, Generator_loss: 20.402420043945312, Discriminator_loss: 1.7103908061981201, Overlap_rate: 0.5243885221192537, Discriminator_fake: 0.5776098901098902
Epoch 10, Generator_loss: 20.417007446289062, Discriminator_loss: 1.7491649389266968, Overlap_rate: 0.5230637175454169, Discriminator_fake: 0.5762362637362637
Epoch 11, Generator_loss: 20.415122985839844, Discriminator_loss: 2.175840377807617, Overlap_rate: 0.5270527259649749, Discriminator_fake: 0.6223672161172161
Epoch 12, Generator_loss: 20.404518127441406, Discriminator_loss: 1.4410934448242188, Overlap_rate: 0.5231417979752737, Discriminator_fake: 0.7098214285714286
Epoch 13, Generator_loss: 20.441287994384766, Discriminator_loss: 1.3418760299682617, Overlap_rate: 0.5199071491529315, Discriminator_fake: 0.6728479853479853
Epoch 14, Generator_loss: 20.433996200561523, Discriminator_loss: 1.9980608224868774, Overlap_rate: 0.5217379565499742, Discriminator_fake: 0.7371794871794872
Epoch 15, Generator_loss: 20.423906326293945, Discriminator_loss: 1.8547015190124512, Overlap_rate: 0.5247820765878105, Discriminator_fake: 0.8266941391941393
Epoch 16, Generator_loss: 20.416353225708008, Discriminator_loss: 1.5967375040054321, Overlap_rate: 0.5259407868395838, Discriminator_fake: 0.8413461538461539
Epoch 17, Generator_loss: 20.4354248046875, Discriminator_loss: 1.4584683179855347, Overlap_rate: 0.5228857349907496, Discriminator_fake: 0.7641941391941391
Epoch 18, Generator_loss: 20.41952896118164, Discriminator_loss: 1.7462191581726074, Overlap_rate: 0.5237824654096672, Discriminator_fake: 0.6625457875457875
Epoch 19, Generator_loss: 20.411537170410156, Discriminator_loss: 1.4727747440338135, Overlap_rate: 0.5244152910131947, Discriminator_fake: 0.5800137362637363
Epoch 20, Generator_loss: 20.40384864807129, Discriminator_loss: 1.2918111085891724, Overlap_rate: 0.5234473107112922, Discriminator_fake: 0.6026785714285714
Epoch 21, Generator_loss: 20.427845001220703, Discriminator_loss: 1.3654154539108276, Overlap_rate: 0.5270903315415337, Discriminator_fake: 0.6496108058608058
Epoch 22, Generator_loss: 20.44244384765625, Discriminator_loss: 1.123496651649475, Overlap_rate: 0.527094964654799, Discriminator_fake: 0.6456043956043955
Epoch 23, Generator_loss: 20.431255340576172, Discriminator_loss: 1.1255115270614624, Overlap_rate: 0.524877956659235, Discriminator_fake: 0.6019917582417583
Epoch 24, Generator_loss: 20.43119239807129, Discriminator_loss: 1.0505341291427612, Overlap_rate: 0.5252522264136537, Discriminator_fake: 0.48546245421245426
Epoch 25, Generator_loss: 20.412691116333008, Discriminator_loss: 1.1553432941436768, Overlap_rate: 0.525045580797797, Discriminator_fake: 0.6311813186813187
Epoch 26, Generator_loss: 20.403100967407227, Discriminator_loss: 1.3103978633880615, Overlap_rate: 0.5235813512393468, Discriminator_fake: 0.6718177655677656
Epoch 27, Generator_loss: 20.425601959228516, Discriminator_loss: 1.039807915687561, Overlap_rate: 0.5241954294845173, Discriminator_fake: 0.5984432234432234
Epoch 28, Generator_loss: 20.434036254882812, Discriminator_loss: 0.9441230893135071, Overlap_rate: 0.5252402942637522, Discriminator_fake: 0.6079441391941391
Epoch 29, Generator_loss: 20.378612518310547, Discriminator_loss: 1.116291880607605, Overlap_rate: 0.5257188082138792, Discriminator_fake: 0.623282967032967
