Epoch,Gen Loss,Disc Loss,Overlap,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
1,6.4488,0.6977,0.5568,0.1444,0.6242,0.3013,0.5533
2,4.2470,0.0957,0.8204,0.1570,0.6286,0.308,0.5587
3,4.8795,0.0414,0.8320,0.1454,0.6265,0.3014,0.5549
4,5.3695,0.0193,0.8390,0.1536,0.6327,0.3098,0.5594
5,5.7144,0.0125,0.8429,0.1452,0.63,0.3016,0.556
6,5.9857,0.0105,0.8479,0.1453,0.6272,0.3036,0.5537
7,6.1928,0.0077,0.8530,0.1587,0.6293,0.3112,0.5578
8,6.3560,0.0061,0.8575,0.1450,0.6223,0.2959,0.5488
9,6.4890,0.0054,0.8616,0.1523,0.6237,0.3022,0.5542
10,6.6147,0.0044,0.8636,0.1484,0.6279,0.3049,0.5563
