Gene_Hydrophobicity,Gene_GRAVY,Gene_Mw_average,Gene_Mw_monoisotopic,Gene_Theoretical_pI,True_Hydrophobicity,True_GRAVY,True_Mw_average,True_Mw_monoisotopic,True_Theoretical_pI
56.58,0.40,2571.1343,2569.4363,10.5,49.39,1.14,2210.8393,2209.4291,10.7
50.66,0.71,2103.5483,2102.1116,6.8,45.95,0.77,2208.8243,2207.4134,10.7
47.07,0.59,2246.7203,2245.2294,9.7,48.64,0.85,2266.8273,2265.4162,12.2
32.16,-0.46,2091.4863,2090.1208,10.1,31.26,-0.96,2147.4513,2146.1298,12.3
25.21,-1.63,3423.9823,3421.7032,11.3,21.36,-1.42,3427.0373,3424.8965,12.5
34.38,-0.48,1480.6103,1479.6671,3.3,47.16,-0.27,1613.8993,1612.8515,11.1
36.38,-0.46,1855.1903,1853.8382,8.8,35.58,-1.39,2029.3773,2028.0265,12.0
55.38,-0.53,2612.0993,2610.2454,10.6,44.90,-0.81,2506.0363,2504.2280,11.6
31.99,-1.07,1671.0773,1669.8586,11.8,30.04,-1.77,1793.2693,1792.0335,11.2
31.98,-0.85,3051.6453,3049.6986,11.5,53.86,0.92,2779.5253,2777.7637,11.0
23.54,0.15,1562.9363,1561.8222,9.1,16.50,-1.04,1711.1033,1709.9182,10.5
44.63,0.25,1829.4953,1828.3118,11.2,55.11,1.23,1790.5003,1789.3261,11.2
31.53,-1.08,1806.0003,1804.8091,4.3,36.08,-1.33,2024.4003,2023.0364,12.2
28.20,-0.54,1671.0283,1669.8208,8.8,35.25,-0.93,1916.2533,1914.9564,10.6
23.64,-2.03,2079.4733,2078.1208,10.6,33.43,-1.62,2162.7373,2161.2711,11.3
2.88,-3.13,2039.2583,2038.0457,10.6,35.14,-1.96,2196.5693,2195.1978,12.5
26.43,-1.61,1913.2983,1912.0367,12.8,32.60,-1.67,2012.4523,2011.0397,12.2
38.90,-0.76,1976.4393,1975.0979,11.8,37.89,-1.50,2144.7003,2143.3147,11.3
25.32,-1.03,1919.2413,1918.0439,11.4,23.46,-1.57,1998.3423,1997.1072,12.0
34.49,-0.98,2098.3713,2097.0756,7.8,36.56,-0.32,1957.2333,1955.8870,4.9
32.24,-0.89,1563.7933,1562.8318,10.8,43.47,0.98,1438.8393,1437.9185,12.5
22.20,-0.68,1404.6723,1403.7457,9.0,32.43,-0.77,1483.8873,1482.9624,13.0
50.83,-0.67,3019.4853,3017.5877,10.2,37.53,-0.87,3112.6003,3110.5986,10.3
26.23,-1.56,2326.6283,2325.0757,11.0,21.42,-1.40,2374.9243,2373.3019,12.8
12.45,-2.31,2416.9493,2415.5563,13.5,18.80,-1.91,2300.5673,2299.1790,10.7
38.18,-0.56,2226.6953,2225.1021,9.0,24.64,-1.91,2455.8133,2454.3212,11.6
32.10,-0.61,2188.5623,2187.1808,10.7,21.50,-1.91,2370.7023,2369.2572,10.7
22.42,-2.87,1976.3053,1975.1103,13.3,32.12,-2.05,1961.3533,1960.0704,13.2
25.84,-1.06,1944.2863,1943.0854,10.9,27.60,-0.47,1790.1543,1789.0575,11.0
48.34,-0.80,2522.0353,2520.3676,10.0,49.33,-0.32,2405.9393,2404.4108,11.6
28.09,-0.06,1793.2493,1791.9965,11.3,30.98,-0.50,1867.2693,1866.0411,12.0
28.01,-0.48,2138.7093,2137.2790,12.6,63.25,0.31,2429.1633,2427.6384,13.3
49.91,-0.24,2489.1313,2487.5980,13.3,55.86,0.24,2502.2823,2500.6694,13.0
51.06,-0.17,2137.5843,2136.0339,10.3,39.96,-0.72,1941.2653,1939.9629,12.2
23.01,-1.06,1637.9003,1636.8369,12.2,35.77,-0.89,1953.3233,1952.0105,12.0
36.58,-0.40,1714.9773,1713.8185,6.9,33.07,-1.31,1989.3113,1987.9952,12.0
25.07,-1.71,1936.2443,1934.9898,11.3,34.67,-1.23,1999.3503,1998.0160,12.0
33.04,-0.52,1918.3093,1916.9060,8.9,32.60,-1.19,1937.2783,1936.0003,12.5
